# node1 num,node2 num,cost
1,2,0.45015801571442937
2,3,0.4361672711091688
2,4,0.21206001458595936
2,5,0.5125632525835687
5,6,0.27939226774327613
6,7,0.2649742002100578
1,8,0.1951376119496968
6,9,0.12890966094481102
7,10,0.18613851664096687
3,11,0.08889057050101842
8,12,0.15310215664060298
8,13,0.1930328704982014
3,14,0.05411204156552042
1,15,0.10102567910391465
16,5,0.21922674469465625
17,15,0.04389912340915904
18,3,0.002435720955752865
16,19,0.14774179280971014
20,5,0.10626072530318267
21,14,0.04417395185762305
22,8,0.15072391242615724
23,9,0.08232876703208475
20,24,0.07418229055212663
16,25,0.09053850249597035
26,6,0.10365114923163844
27,7,0.032022336379727304
28,2,0.09883631540708471
16,29,0.043360917103295316
30,11,0.18345281309030956
30,31,0.09031269126211179
32,4,0.08092984077224225
33,7,0.09230435442793891
34,13,0.009342441492055516
35,11,0.07153699795930857
32,36,0.09424471570696882
37,3,0.03554499646247527
26,38,0.05392144654516332
34,39,0.043321790333692996
40,2,0.030429167053691066
30,41,0.0716961802324507
17,42,0.06575362261651557
37,43,0.006847743985266274
23,44,0.08507838288461449
45,14,0.016189222216777367
44,46,0.30414125037362716
46,47,0.1678193347323447
9,48,0.08720816331915943
48,49,0.11151791212355944
46,50,0.0747946769991067
42,51,0.05278939913431708
23,52,0.1006308084817853
13,53,0.03328570143202141
11,54,0.006796330871131302
53,55,0.04012219202802145
8,56,0.07819033772975349
52,57,0.33392003815814886
18,58,0.027014393647959087
38,59,0.018762340951693216
5,60,0.042754142097064185
24,61,0.04351282285293383
4,62,0.023841451050139975
35,63,0.014051447699077551
28,64,0.03731967336072792
32,65,0.04249261925020114
52,66,0.09457885682105922
51,67,0.07147205422002843
17,68,0.01679095958411137
57,69,0.11748988424273321
57,70,0.2017701441388176
12,71,0.04733118041251862
16,72,0.09220409945392445
61,73,0.03185605652371121
50,74,0.02828248392828476
59,75,0.06578528322169758
55,76,0.10068852564304646
68,77,0.03589295744776707
4,78,0.08510770065165162
79,69,0.053250953110707204
80,47,0.06326256552776854
81,4,0.04579143507045675
46,82,0.06955098675162431
83,57,0.09329318206915725
31,84,0.05237875741042908
42,85,0.01322070422261165
16,86,0.03338326629436523
87,12,0.022221806798196592
80,88,0.10277258071713338
89,47,0.03894912693383979
82,90,0.11823940162978168
91,5,0.06356106152865326
92,69,0.025125415158817502
81,93,0.04388637075258204
90,94,0.056822468405681156
88,95,0.054178400486320645
96,70,0.12114010447505934
41,97,0.07962761673512186
43,98,0.041986849321868865
99,71,0.02235945421566238
95,100,0.10379403536389839
101,2,0.056012952142596446
102,9,0.043507648128378165
103,77,0.03317733090525077
104,14,0.041107528879728496
82,105,0.02485130308470706
102,106,0.028160622374759057
107,48,0.044949862328464686
108,57,0.05889052274112625
