0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.064659581737285631e-05,-9.996306769576158713e-01,-4.261677644721178528e-04,7.285009084115242608e-05,4.357354168054241201e-05,-1.600536875318125292e-05
2.418776991502809520e-04,-9.988920447770691657e-01,-1.278473927978721015e-03,2.185302153672451795e-04,1.306880196793828042e-04,-4.801446729702954052e-05
4.835087691889604702e-04,-9.977837907748451363e-01,-2.557619732073032962e-03,4.374106489276802017e-04,2.612475588547074528e-04,-9.602082254812620179e-05
8.052328487908138027e-04,-9.963052767769337015e-01,-4.265033504174631403e-03,7.302495193955417475e-04,4.350930118179051646e-04,-1.600129945845365131e-04
1.206620556051586548e-03,-9.944555407546958881e-01,-6.402865232551759739e-03,1.098188890091951041e-03,6.520019129001673871e-04,-2.399743054305632228e-04
1.687120033153967488e-03,-9.922332990270087416e-01,-8.973979150738629895e-03,1.542749346981964805e-03,9.116883896198734903e-04,-3.358824301572260491e-04
2.246056854612406197e-03,-9.896369490723861961e-01,-1.198194419446364442e-02,2.065822997361266202e-03,1.213803032860027910e-03,-4.477088513634789593e-04
2.882633897368078613e-03,-9.866645730108400958e-01,-1.543102214379518666e-02,2.669664753065937278e-03,1.557932727162306217e-03,-5.754181784092400305e-04
3.595931175662822523e-03,-9.833139418313550095e-01,-1.932615321265777897e-02,3.356881736977516267e-03,1.943600442820042325e-03,-7.189673331522626566e-04
4.384905644281004988e-03,-9.795825204569797995e-01,-2.367293879718412181e-02,4.130420617308004291e-03,2.370264991832200536e-03,-8.783046044183436072e-04
5.248390974643139112e-03,-9.754674737555979469e-01,-2.847762104375489017e-02,4.993552639982313732e-03,2.837320750291812566e-03,-1.053368574031357877e-03
6.185097309418487004e-03,-9.709656736202914029e-01,-3.374705884744199497e-02,5.949856095665608142e-03,3.344097350455862115e-03,-1.244086917970661441e-03
7.193611002853815203e-03,-9.660737072586135232e-01,-3.948869984255878873e-02,7.003195925044902043e-03,3.889859346611984191e-03,-1.450375087134578257e-03
8.272394355953362893e-03,-9.607878868447041754e-01,-4.571054790006945368e-02,8.157700134492936253e-03,4.473805859955585010e-03,-1.672134873297280878e-03
9.419785358054204305e-03,-9.551042607015578501e-01,-5.242112560300082880e-02,9.417732665065542408e-03,5.095070209055349575e-03,-1.909252867180486445e-03
1.063399744928430861e-02,-9.490186261922963773e-01,-5.962943113240967014e-02,1.078786233201607311e-02,5.752719534151945653e-03,-2.161598817148978943e-03
1.191311932192630312e-02,-9.425265445082512406e-01,-6.734488896501014676e-02,1.227282743104494804e-02,6.445754425538387233e-03,-2.429023898906647241e-03
1.325511478288756220e-02,-9.356233575471074593e-01,-7.557729376187255488e-02,1.387749559304709765e-02,7.173108568640794262e-03,-2.711358908740842209e-03
